A = 0010111111 , B= 0000011000 , Q = 0001111111 
A = 0100110110 , B= 0000011000 , Q = 0011001110 
A = 0001010100 , B= 0000011000 , Q = 0000111000 
A = 0011011111 , B= 0000011000 , Q = 0010010100 
A = 0011000101 , B= 0000001000 , Q = 0110001010 
A = 0001110111 , B= 0000010000 , Q = 0001110111 
A = 0011000001 , B= 0000011000 , Q = 0010000000 
A = 0100010010 , B= 0000011000 , Q = 0010110110 
A = 0100101011 , B= 0000011000 , Q = 0011000111 
A = 0101111101 , B= 0000010000 , Q = 0101111101 
A = 0110110111 , B= 0000011000 , Q = 0100100100 
A = 0011010110 , B= 0000001000 , Q = 0110101100 
A = 0010100010 , B= 0000011000 , Q = 0001101100 
A = 0110011001 , B= 0000011000 , Q = 0100010000 
A = 0000010100 , B= 0000001000 , Q = 0000101000 
A = 0001111101 , B= 0000010000 , Q = 0001111101 
A = 0001001001 , B= 0000011000 , Q = 0000110000 
A = 0111001011 , B= 0000001000 , Q = OVERFLOW! 
A = 0000011000 , B= 0000011000 , Q = 0000010000 
A = 0101000110 , B= 0000001000 , Q = OVERFLOW! 
A = 0000111011 , B= 0000011000 , Q = 0000100111 
A = 0110011011 , B= 0000001000 , Q = OVERFLOW! 
A = 0001010010 , B= 0000010000 , Q = 0001010010 
A = 0110001100 , B= 0000010000 , Q = 0110001100 
A = 0100011010 , B= 0000011000 , Q = 0010111100 
A = 0001111100 , B= 0000001000 , Q = 0011111000 
A = 0100011111 , B= 0000001000 , Q = OVERFLOW! 
A = 0011110011 , B= 0000011000 , Q = 0010100010 
A = 0100110111 , B= 0000001000 , Q = OVERFLOW! 
A = 0110101111 , B= 0000010000 , Q = 0110101111 
A = 0101000111 , B= 0000011000 , Q = 0011011010 
A = 0000111100 , B= 0000010000 , Q = 0000111100 
A = 0110001101 , B= 0000010000 , Q = 0110001101 
A = 0101001000 , B= 0000010000 , Q = 0101001000 
A = 0100000000 , B= 0000001000 , Q = OVERFLOW! 
A = 0101101010 , B= 0000011000 , Q = 0011110001 
A = 0000101000 , B= 0000001000 , Q = 0001010000 
